epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,67.3974,0.96831,1.03012,1.01726,0.96694,1,0.995,0.76916,0.85082,0.81394,0.98489,0.000359409,0.000359409,0.000359409
43,68.949,0.95172,1.14542,1.02571,0.96694,1,0.995,0.76916,0.85082,0.81394,0.98489,0.000341077,0.000341077,0.000341077
44,70.6426,0.84421,0.95643,1.00614,0.96694,1,0.995,0.76916,0.85082,0.81394,0.98489,0.000322745,0.000322745,0.000322745
45,72.3369,0.87302,1.14486,1.04009,0.96694,1,0.995,0.76916,0.85082,0.81394,0.98489,0.000304414,0.000304414,0.000304414
46,74.0332,0.95093,1.10254,1.04117,0.97797,1,0.995,0.78373,0.83961,0.81578,0.96362,0.000286083,0.000286083,0.000286083
47,75.6904,0.97532,1.03702,1.03706,0.97797,1,0.995,0.78373,0.83961,0.81578,0.96362,0.000267751,0.000267751,0.000267751
48,77.3345,0.97562,1.09435,1.02524,0.97797,1,0.995,0.78373,0.83961,0.81578,0.96362,0.00024942,0.00024942,0.00024942
49,78.9989,0.9627,1.28514,1.02764,0.97797,1,0.995,0.78373,0.83961,0.81578,0.96362,0.000231088,0.000231088,0.000231088
50,80.6179,0.96643,1.19406,1.02102,0.97904,1,0.995,0.79287,0.81731,0.83493,0.95114,0.000212757,0.000212757,0.000212757
51,82.2378,0.85955,1.19697,0.97138,0.97904,1,0.995,0.79287,0.81731,0.83493,0.95114,0.000194425,0.000194425,0.000194425
52,83.7332,0.88376,1.20806,0.98502,0.97904,1,0.995,0.79287,0.81731,0.83493,0.95114,0.000176094,0.000176094,0.000176094
53,85.2019,0.86019,1.12831,0.99925,0.97904,1,0.995,0.79287,0.81731,0.83493,0.95114,0.000157762,0.000157762,0.000157762
54,86.7775,0.96111,1.30238,1.06365,0.98263,1,0.995,0.79345,0.79716,0.86321,0.94225,0.000139431,0.000139431,0.000139431
55,88.3184,0.96169,1.22286,1.06215,0.98263,1,0.995,0.79345,0.79716,0.86321,0.94225,0.000121099,0.000121099,0.000121099
56,89.8172,0.85555,1.03046,0.96672,0.98263,1,0.995,0.79345,0.79716,0.86321,0.94225,0.000102768,0.000102768,0.000102768
57,91.3742,0.90628,1.03461,0.9633,0.98263,1,0.995,0.79345,0.79716,0.86321,0.94225,8.4436e-05,8.4436e-05,8.4436e-05
58,93.1207,0.92655,1.15374,1.07608,0.97916,1,0.995,0.79343,0.79129,0.87726,0.93723,6.61045e-05,6.61045e-05,6.61045e-05
59,94.6412,0.86198,1.13101,1.00279,0.97916,1,0.995,0.79343,0.79129,0.87726,0.93723,4.7773e-05,4.7773e-05,4.7773e-05
60,96.1232,0.88207,1.08155,1.02653,0.97916,1,0.995,0.79343,0.79129,0.87726,0.93723,2.94415e-05,2.94415e-05,2.94415e-05
